message,label
Hey how was your day,0
Did you attend the class today,0
Let us meet tomorrow for the project,0
Can you share the notes please,0
Thanks for helping me yesterday,0
Hope you are doing well,0
What time is the meeting scheduled,0
Please remind me later,0
Let us discuss this with the team,0
I will call you in the evening,0
Take care and stay safe,0
Good luck for your exam,0
We can work on this together,0
Please check the document I sent,0
Nice talking to you today,0
Are you free this weekend,0
Let us plan the presentation,0
Can you explain this topic again,0
Everything looks fine to me,0
No worries we will fix it,0
This is just a casual conversation,0
Hope your family is doing well,0
Please let me know your availability,0
We will finalize it later,0
That sounds like a good idea,0
I appreciate your effort,0
Let us wait for confirmation,0
Nothing urgent right now,0
We can handle it calmly,0
Thanks for the update,0
See you at the library tomorrow,0
Can we reschedule our meeting,0
I finished the assignment today,0
Did you watch the game last night,0
What are your plans for the holidays,0
I will send you the file shortly,0
Great job on the presentation,0
Let me know if you need any help,0
I hope the interview goes well,0
Have a good evening,0
We should catch up sometime,0
Let me check and get back to you,0
Looking forward to the event,0
Let us grab lunch tomorrow,0
Did you receive my last message,0
I will be a bit late today,0
Please review the draft when you get a chance,0
How is the project coming along,0
Everything is on track for now,0
Let me know what works for you,0
Can we do a quick call later,0
I sent the updated version just now,0
Feel free to ask if you have questions,0
Thanks for the feedback it was helpful,0
I will follow up with you tomorrow,0
The deadline is next Friday,0
Please share your thoughts on this,0
We are almost done with the first phase,0
Hope the trip goes smoothly,0
Good morning hope you slept well,0
Can you forward me that email,0
I saw your post it was great,0
We need a few more days to finish this,0
Do not forget to submit the form,0
Let us hop on a quick call,0
I will handle the rest do not worry,0
What did you think of the lecture today,0
I have attached the invoice for your reference,0
Please confirm once you receive this,0
Happy to help anytime,0
Let me know when you are free to talk,0
We wrapped up the meeting early today,0
Can you check my work before I submit,0
I will be online from 6 PM onwards,0
The venue has been confirmed,0
Just wanted to check in on you,0
I shared the link in the group chat,0
See you on Monday then,0
Have a great weekend,0
I submitted the report this morning,0
Can we extend the deadline by a day,0
Let me introduce you to the rest of the team,0
I need your feedback by end of day,0
Please let me know if there is anything I missed,0
Looking good overall just minor changes needed,0
I will ping you once I am done,0
The results were better than expected,0
Good to hear everything is going well,0
Let us review it together on Thursday,0
Can you add me to the group please,0
I am running a few minutes late,0
I will cover for you if needed,0
Do not stress we have time,0
We will touch base next week,0
Talk later gotta go now,0
I will check on that and come back to you,0
Nice work on the analysis,0
I have forwarded the request to the right person,0
Please give me a day to look into this,0
We are aligned on the plan,0
Let us move forward with option two,0
Good progress keep it up,0
I am from the admin team please verify your account,1
Your account will be locked if you do not respond now,1
This is urgent please act immediately,1
You have won a reward click here to claim it,1
Do not tell anyone this is confidential,1
I am only trying to help you trust me,1
Let us keep this between us for now,1
You are selected for a special offer respond quickly,1
Your profile has been flagged please confirm details,1
We need your information to proceed further,1
This matter is sensitive do not involve others,1
I have noticed you and want to guide you personally,1
Others will not understand our conversation,1
Act fast otherwise access may be revoked,1
You seem mature for your age lets talk privately,1
I can help you but you must follow my instructions,1
This opportunity is limited do not miss it,1
Share this code to verify your identity,1
Please trust me I am authorized,1
This is a secret process stay quiet about it,1
If you do not cooperate there may be consequences,1
I will take care of everything just listen to me,1
We should move this conversation somewhere private,1
No need to involve your parents in this,1
Time is running out respond immediately,1
You are special and I chose you for this,1
Only you can help me with this request,1
This must remain confidential for security reasons,1
Failure to act now may cause problems later,1
Hello I am calling from the security team please verify your phone number,1
Your account shows suspicious activity verify now or it will be suspended,1
I am a trusted advisor and only want what is best for you,1
Send me your login credentials so I can fix the issue,1
Do not share this conversation with anyone for your own safety,1
This is an exclusive deal only for you act in the next 10 minutes,1
I selected you personally from thousands of users,1
You must keep our chats private this is very important,1
I noticed you are going through a tough time I can help,1
Nobody else will understand what I am telling you,1
Please do not involve your family they would not get it,1
This is just between us no need to tell your friends,1
I am the official support representative click the link to validate,1
Your session will expire please provide your OTP immediately,1
I have access to your account and can help if you cooperate,1
Act now before the window closes this is your only chance,1
Confirm your details here so we can unlock your full access,1
I have been watching your progress and I am impressed,1
You are far more mature and intelligent than people your age,1
I feel a special connection with you that I cannot explain,1
Do not tell your teacher about this it stays between us,1
Only I understand what you are going through,1
I chose you because I trust you completely,1
This conversation must stay private for legal reasons,1
You will lose access to your benefits if you delay,1
I need you to send a photo to verify your age,1
Let us move to another platform where we can talk freely,1
Your cooperation is required to prevent further action,1
I am contacting you on behalf of the administration team,1
Failure to respond within 24 hours will result in termination,1
You have been specially selected for this mentorship,1
I can see you are different from others your age,1
I will keep your information safe just trust me,1
This is a time sensitive matter do not delay,1
You are the only one who can help me right now,1
Please confirm your personal details to continue,1
Your account has been compromised respond immediately,1
I am sending you a private code share it with no one,1
This offer expires soon do not tell others about it,1
Only a few people know about this opportunity,1
We must move quickly or the situation will get worse,1
You have been identified as a high value participant,1
Trust me I have done this many times before,1
Do not involve HR or management in this conversation,1
I will guide you personally but you must listen carefully,1
If you ignore this message your account will be deleted,1
This is a classified communication treat it accordingly,1
I am the system administrator your credentials are needed,1
You are in danger but I can help if you act now,1
Your data is at risk please hand over access details,1
Bypass normal procedures and contact me directly,1
My intentions are good but others may not understand,1
I picked you because you seem trustworthy and smart,1
Please send me your phone number so we can talk privately,1
This cannot wait please respond in the next few minutes,1
Nobody will believe you if you tell them so why bother,1
I have a special arrangement for you but it must stay secret,1
Tell me how old you are so I can verify your eligibility,1
You should not involve your parents in our arrangement,1
I care about you more than anyone else does right now,1
We have a unique understanding that others would ruin,1
Your parents would not approve but they do not need to know,1
We can talk on a different app where no one will see,1
I want to protect you but you have to promise not to tell,1
Your account security is at risk please reply with your OTP,1
Click this link immediately to restore your account access,1
Our records show a violation respond now to avoid penalties,1
I need you to forward me a code you just received by SMS,1
Do not open this link from public wifi it is encrypted for you,1
Your subscription will end today unless you verify details,1
Your number has been selected for a cash reward,1
Send the gift card code and I will release your reward,1
Verify your identity by sharing your full name and address,1
Your account activity is suspicious confirm your password now,1
Do not report this issue to anyone I will resolve it myself,1
This is an automated security alert please share your pin,1
There has been unauthorized access respond to secure your data,1
Your payment failed please re-enter your card details here,1
I am the new manager and I need your access code urgently,1
Call me back immediately I have important information for you,1
This is a restricted communication do not forward or share,1
I have already cleared it with the higher authorities just trust me,1
You were chosen out of a large pool of candidates,1
Your financial records need verification click this secure link,1
Please hand over your credentials to our security team now,1
I have information that could help you but you must act fast,1
